natural_key,date,time,province,temp,cloud_description,min_temp,max_temp,humidity,vision,wind_spd,uv_index,atmosphere_quality
PHUTHO131020221000,13/10/2022,10:00,Phú Thọ,null,Bầu trời quang đãng,18,30,0.47,10 km,1 ,null
PHUTHO131020221300,13/10/2022,13:00,Phú Thọ,null,Bầu trời quang đãng,18,30,0.34,10 km,0.83 ,null
PHUTHO131020221600,13/10/2022,16:00,Phú Thọ,null,Bầu trời quang đãng,18,30,0.41,10 km,1.51 ,null
PHUTHO131020221900,13/10/2022,19:00,Phú Thọ,null,Mây rải rác,18,30,0.53,10 km,1.1 ,null
PHUTHO131020222200,13/10/2022,22:00,Phú Thọ,null,Bầu trời quang đãng,18,30,0.59,10 km,0.79 ,null
LAOCAI121020222059,12/10/2022,20:59,Lào Cai,23,Nhiều mây Cảm giác như 23°.,20,30,0.78,10 km,0.81 ,0,Kém
LAOCAI121020222100,12/10/2022,21:00,Lào Cai,null,Nhiều mây,23,23,0.78,10 km,0.81 ,0
LAOCAI121020222200,12/10/2022,22:00,Lào Cai,null,Nhiều mây,23,23,0.78,10 km,0.8 ,0
LAOCAI121020222300,12/10/2022,23:00,Lào Cai,null,Nhiều mây,23,23,0.78,10 km,0.81 ,0
LAOCAI131020220100,13/10/2022,01:00,Lào Cai,null,Nhiều mây,20,30,0.79,10 km,0.64 ,null
LAOCAI131020220400,13/10/2022,04:00,Lào Cai,null,Nhiều mây,20,30,0.8,10 km,0.47 ,null
LAOCAI131020220700,13/10/2022,07:00,Lào Cai,null,Mây cụm,20,30,0.82,10 km,0.34 ,null
LAOCAI131020221000,13/10/2022,10:00,Lào Cai,null,Mây rải rác,20,30,0.53,10 km,1.01 ,null
LAOCAI131020221300,13/10/2022,13:00,Lào Cai,null,Mây rải rác,20,30,0.46,10 km,1.72 ,null
LAOCAI131020221600,13/10/2022,16:00,Lào Cai,null,Mây thưa,20,30,0.53,10 km,1.25 ,null
LAOCAI131020221900,13/10/2022,19:00,Lào Cai,null,Mây thưa,20,30,0.77,10 km,0.73 ,null
LAOCAI131020222200,13/10/2022,22:00,Lào Cai,null,Mây thưa,20,30,0.78,10 km,0.69 ,null
DIENBIEN121020222059,12/10/2022,20:59,Điện Biên,21,Mây rải rác Cảm giác như 22°.,17,30,0.85,10 km,1.46 ,0,Kém
DIENBIEN121020222100,12/10/2022,21:00,Điện Biên,null,Mây rải rác,21,22,0.85,10 km,1.46 ,0
DIENBIEN121020222200,12/10/2022,22:00,Điện Biên,null,Mây rải rác,21,22,0.86,10 km,1.48 ,0
DIENBIEN121020222300,12/10/2022,23:00,Điện Biên,null,Mây cụm,21,22,0.87,10 km,1.53 ,0
DIENBIEN131020220100,13/10/2022,01:00,Điện Biên,null,Mây cụm,17,30,0.86,10 km,1.36 ,null
DIENBIEN131020220400,13/10/2022,04:00,Điện Biên,null,Mây cụm,17,30,0.85,10 km,1.25 ,null
DIENBIEN131020220700,13/10/2022,07:00,Điện Biên,null,Nhiều mây,17,30,0.84,10 km,1.17 ,null
DIENBIEN131020221000,13/10/2022,10:00,Điện Biên,null,Nhiều mây,17,30,0.6,10 km,1.33 ,null
DIENBIEN131020221300,13/10/2022,13:00,Điện Biên,null,Mây cụm,17,30,0.53,10 km,0.58 ,null
DIENBIEN131020221600,13/10/2022,16:00,Điện Biên,null,Mây rải rác,17,30,0.51,10 km,1.27 ,null
DIENBIEN131020221900,13/10/2022,19:00,Điện Biên,null,Mây thưa,17,30,0.81,10 km,1.44 ,null
DIENBIEN131020222200,13/10/2022,22:00,Điện Biên,null,Bầu trời quang đãng,17,30,0.88,10 km,1.41 ,null
